feature,importance_0,importance_1,importance_2,importance_3,importance_4,importance
R_16_mean,34.0,37.0,42.0,45.0,24.0,36.4
D_75_std,43.0,47.0,30.0,33.0,29.0,36.4
D_75_mean,54.0,30.0,31.0,34.0,32.0,36.2
D_122_mean,41.0,33.0,30.0,33.0,43.0,36.0
B_25_max,38.0,42.0,31.0,39.0,30.0,36.0
B_37_std,44.0,41.0,23.0,30.0,42.0,36.0
D_80_last,35.0,39.0,28.0,34.0,43.0,35.8
R_11_mean,41.0,38.0,27.0,39.0,34.0,35.8
B_1_min,35.0,33.0,38.0,36.0,37.0,35.8
D_58_mean,41.0,29.0,38.0,26.0,45.0,35.8
S_3_min,51.0,37.0,34.0,29.0,27.0,35.6
B_8_mean,35.0,27.0,34.0,37.0,45.0,35.6
B_37_min,36.0,33.0,31.0,40.0,37.0,35.4
R_5_last,40.0,30.0,36.0,32.0,38.0,35.2
D_117_last,37.0,42.0,34.0,30.0,33.0,35.2
D_50_std,45.0,28.0,31.0,29.0,43.0,35.2
D_52_min,41.0,34.0,32.0,39.0,30.0,35.2
B_7_mean,46.0,30.0,29.0,31.0,40.0,35.2
B_8_max,41.0,42.0,37.0,22.0,34.0,35.2
B_26_max,49.0,30.0,22.0,34.0,40.0,35.0
B_25_mean,48.0,32.0,32.0,31.0,32.0,35.0
D_62_mean,41.0,33.0,27.0,29.0,45.0,35.0
D_77_max,39.0,35.0,36.0,34.0,30.0,34.8
B_11_std,45.0,37.0,28.0,31.0,32.0,34.6
D_56_last,31.0,27.0,26.0,46.0,43.0,34.6
S_22_mean,31.0,27.0,49.0,30.0,36.0,34.6
D_52_mean,37.0,39.0,32.0,29.0,36.0,34.6
D_56_max,40.0,24.0,40.0,35.0,33.0,34.4
B_19_mean,46.0,36.0,27.0,30.0,33.0,34.4
D_65_max,34.0,34.0,31.0,36.0,37.0,34.4
S_8_max,47.0,37.0,25.0,26.0,36.0,34.2
D_119_max,45.0,32.0,25.0,36.0,32.0,34.0
B_22_mean,31.0,29.0,41.0,35.0,34.0,34.0
D_74_std,33.0,38.0,33.0,27.0,38.0,33.8
D_66_last,34.0,30.0,37.0,33.0,35.0,33.8
D_58_last,45.0,32.0,34.0,26.0,32.0,33.8
D_119_min,36.0,29.0,39.0,40.0,24.0,33.6
B_6_max,34.0,27.0,35.0,45.0,27.0,33.6
D_44_mean,45.0,30.0,20.0,36.0,37.0,33.6
S_11_min,35.0,34.0,33.0,28.0,37.0,33.4
B_7_max,43.0,38.0,25.0,25.0,36.0,33.4
B_1_std,35.0,43.0,25.0,31.0,32.0,33.2
B_13_mean,44.0,33.0,27.0,24.0,37.0,33.0
B_23_min,36.0,38.0,37.0,25.0,29.0,33.0
D_102_mean,35.0,32.0,41.0,32.0,24.0,32.8
S_22_min,42.0,25.0,37.0,27.0,32.0,32.6
B_23_mean,27.0,39.0,26.0,28.0,42.0,32.4
D_121_std,39.0,27.0,38.0,29.0,29.0,32.4
D_118_std,39.0,32.0,33.0,28.0,30.0,32.4
D_65_std,36.0,42.0,20.0,33.0,30.0,32.2
B_23_max,28.0,30.0,42.0,21.0,40.0,32.2
D_61_min,35.0,33.0,37.0,23.0,32.0,32.0
B_4_mean,34.0,40.0,20.0,31.0,35.0,32.0
D_115_min,32.0,28.0,28.0,42.0,30.0,32.0
B_20_mean,37.0,26.0,34.0,19.0,42.0,31.6
D_119_std,48.0,25.0,36.0,23.0,26.0,31.6
R_2_last,25.0,37.0,35.0,32.0,29.0,31.6
D_56_std,23.0,34.0,39.0,27.0,35.0,31.6
S_9_std,31.0,35.0,35.0,24.0,33.0,31.6
B_10_max,36.0,17.0,33.0,39.0,33.0,31.6
D_48_mean,41.0,26.0,28.0,27.0,36.0,31.6
R_7_last,34.0,28.0,29.0,23.0,43.0,31.4
